id,detail_desc,factory,image,name,price,quantity,short_desc,sold,target
101,"HP Envy 15 với màn hình OLED 15.6 inch, card NVIDIA GTX 1650 Ti, RAM 16GB, SSD 1TB.",HP,101.png,"HP Envy 15",39990000,15,"Laptop sáng tạo nội dung.",6,PROFESSIONAL
102,"ASUS Chromebook Flip với màn hình cảm ứng 12 inch, vi xử lý Intel Core m3, RAM 4GB, eMMC 64GB.",ASUS,102.png,"ASUS Chromebook Flip",10990000,60,"Laptop học tập cơ bản.",40,STUDENT
103,"Dell Latitude 5410 với màn hình Full HD, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB.",Dell,103.png,"Dell Latitude 5410",19990000,35,"Laptop doanh nghiệp bền bỉ.",18,BUSINESS
104,"Acer Swift X với card NVIDIA GTX 1650, vi xử lý AMD Ryzen 5, RAM 16GB, SSD 512GB.",Acer,104.png,"Acer Swift X",23990000,45,"Laptop gaming siêu nhẹ.",22,GAMER
105,"Lenovo Legion 5 với card NVIDIA RTX 3060, vi xử lý AMD Ryzen 7, RAM 16GB, SSD 1TB.",Lenovo,105.png,"Lenovo Legion 5",32990000,25,"Laptop gaming mạnh mẽ.",12,GAMER
106,"Surface Laptop Studio với màn hình cảm ứng 14.4 inch 120Hz, chip Intel Core i7, RAM 32GB, SSD 1TB.",Microsoft,106.png,"Microsoft Surface Laptop Studio",59990000,10,"Laptop cao cấp cho sáng tạo.",5,PROFESSIONAL
107,"HP Chromebook 14 sở hữu màn hình 14 inch HD, vi xử lý Intel Celeron, RAM 4GB, eMMC 64GB, lý tưởng cho việc học tập.",HP,107.png,"HP Chromebook 14",9990000,80,"Laptop nhỏ gọn cho học sinh.",40,STUDENT
108,"Lenovo Flex 5 với màn hình cảm ứng 13.3 inch Full HD, vi xử lý Intel Core i3, RAM 8GB, SSD 128GB.",Lenovo,108.png,"Lenovo Flex 5 Chromebook",10990000,70,"Laptop học tập hai trong một.",30,STUDENT
109,"Acer Chromebook Spin 713 sở hữu màn hình cảm ứng 13.5 inch 2K, vi xử lý Intel Core i5, RAM 8GB, SSD 256GB.",Acer,109.png,"Acer Chromebook Spin 713",15990000,50,"Laptop cảm ứng, pin trâu.",20,STUDENT
110,"ASUS VivoBook 15 với màn hình 15.6 inch Full HD, vi xử lý AMD Ryzen 3, RAM 8GB, SSD 256GB.",ASUS,110.png,"ASUS VivoBook 15",13990000,60,"Laptop phổ thông, giá tốt.",25,STUDENT
111,"Dell Inspiron 14 3000 sở hữu màn hình 14 inch, vi xử lý Intel Celeron, RAM 4GB, SSD 128GB.",Dell,111.png,"Dell Inspiron 14 3000",11990000,90,"Laptop giá rẻ cho sinh viên.",35,STUDENT
112,"Lenovo ThinkPad X1 Carbon sở hữu màn hình 14 inch 2K, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",Lenovo,112.png,"Lenovo ThinkPad X1 Carbon",42990000,25,"Laptop cao cấp, siêu mỏng.",10,BUSINESS
113,"HP EliteBook 850 G8 với màn hình 15.6 inch Full HD, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",HP,113.png,"HP EliteBook 850 G8",39990000,20,"Laptop văn phòng hiệu năng cao.",8,BUSINESS
114,"ASUS ExpertBook B9 sở hữu vi xử lý Intel Core i5, RAM 8GB, SSD 512GB, màn hình 14 inch Full HD.",ASUS,114.png,"ASUS ExpertBook B9",36990000,30,"Laptop doanh nghiệp siêu nhẹ.",12,BUSINESS
115,"Dell Latitude 7420 trang bị vi xử lý Intel Core i5, RAM 8GB, SSD 512GB, màn hình cảm ứng Full HD.",Dell,115.png,"Dell Latitude 7420",35990000,25,"Laptop doanh nghiệp bảo mật cao.",10,BUSINESS
116,"Surface Pro 7+ với màn hình cảm ứng 12.3 inch, vi xử lý Intel Core i5, RAM 8GB, SSD 256GB.",Microsoft,116.png,"Microsoft Surface Pro 7+",28990000,15,"Laptop lai tablet linh hoạt.",6,BUSINESS
117,"Alienware m15 R7 trang bị màn hình 15.6 inch QHD 165Hz, card NVIDIA RTX 3070 Ti, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",Dell,117.png,"Alienware m15 R7",49990000,20,"Laptop gaming mạnh mẽ.",7,GAMER
118,"MSI Stealth 15M sở hữu màn hình Full HD 144Hz, card NVIDIA RTX 3060, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",MSI,118.png,"MSI Stealth 15M",39990000,30,"Laptop gaming mỏng nhẹ.",15,GAMER
119,"ASUS TUF Gaming F15 với màn hình 15.6 inch Full HD 144Hz, card NVIDIA GTX 1650, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB.",ASUS,119.png,"ASUS TUF Gaming F15",28990000,40,"Laptop gaming giá tốt.",20,GAMER
120,"HP Victus 16 trang bị màn hình Full HD 16 inch, card NVIDIA GTX 1650, vi xử lý AMD Ryzen 5, RAM 8GB, SSD 512GB.",HP,120.png,"HP Victus 16",24990000,45,"Laptop gaming phổ thông.",18,GAMER
121,"Acer Nitro 5 với card NVIDIA RTX 3050, vi xử lý AMD Ryzen 7, RAM 16GB, SSD 512GB.",Acer,121.png,"Acer Nitro 5",26990000,50,"Laptop gaming hiệu năng cao.",25,GAMER
122,"MacBook Air M2 sở hữu màn hình Retina 13.6 inch, chip Apple M2, RAM 8GB, SSD 512GB.",Apple,122.png,"MacBook Air M2",32990000,20,"Laptop mỏng nhẹ cho sáng tạo.",9,PROFESSIONAL
123,"Dell Precision 5560 với card NVIDIA Quadro T1200, vi xử lý Intel Core i7, RAM 32GB, SSD 1TB.",Dell,123.png,"Dell Precision 5560",53990000,12,"Laptop đồ họa cao cấp.",5,PROFESSIONAL
124,"HP ZBook Firefly 15 G8 sở hữu màn hình Full HD, card NVIDIA T500, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",HP,124.png,"HP ZBook Firefly 15 G8",46990000,15,"Laptop sáng tạo nội dung.",6,PROFESSIONAL
125,"Lenovo ThinkPad P15 trang bị card NVIDIA RTX 5000, vi xử lý Intel Xeon, RAM 64GB, SSD 2TB.",Lenovo,125.png,"Lenovo ThinkPad P15",54990000,10,"Laptop workstation mạnh mẽ.",4,PROFESSIONAL
126,"ASUS ProArt StudioBook Pro 16 với màn hình OLED 16 inch 4K, card NVIDIA RTX A5000, vi xử lý AMD Ryzen 9, RAM 32GB, SSD 1TB.",ASUS,126.png,"ASUS ProArt StudioBook Pro 16",59990000,8,"Laptop chuyên nghiệp cho đồ họa.",3,PROFESSIONAL
